seq	trim_left	trim_right	primer_type
S-05540_oECA306_C11_p1_SEQ1184192A_090817E	29	5	p1_SEQ1184192A_090817E
S-06218_oECA306_F08_p2_SEQ1184192A_090817F	37	1	p2_SEQ1184192A_090817F
S-06230_oECA306_F10_p2_SEQ1184192A_090817F	39	3	p2_SEQ1184192A_090817F
S-06380_oECA306_A05_p3_SEQ1184192A_090817G	33	0	p3_SEQ1184192A_090817G
S-06668_oECA306_F04_p3_SEQ1184192A_090817G	10	2	p3_SEQ1184192A_090817G
S-06976_oECA306_B12_p4_SEQ1184192A_090817H	11	3	p4_SEQ1184192A_090817H
S-07049_oECA306_C01_p4_SEQ1184192A_090817H	14	3	p4_SEQ1184192A_090817H
S-07052_oECA306_C02_p4_SEQ1184192A_090817H	10	3	p4_SEQ1184192A_090817H
S-07061_oECA306_C03_p4_SEQ1184192A_090817H	15	8	p4_SEQ1184192A_090817H
S-07097_oECA306_C04_p4_SEQ1184192A_090817H	10	6	p4_SEQ1184192A_090817H
S-07100_oECA306_C05_p4_SEQ1184192A_090817H	15	20	p4_SEQ1184192A_090817H
S-07107_oECA306_C06_p4_SEQ1184192A_090817H	9	9	p4_SEQ1184192A_090817H
S-07108_oECA306_C07_p4_SEQ1184192A_090817H	21	4	p4_SEQ1184192A_090817H
S-07151_oECA306_C08_p4_SEQ1184192A_090817H	11	4	p4_SEQ1184192A_090817H
S-07159_oECA306_C09_p4_SEQ1184192A_090817H	10	20	p4_SEQ1184192A_090817H
S-07165_oECA306_C10_p4_SEQ1184192A_090817H	10	12	p4_SEQ1184192A_090817H
S-07169_oECA306_C11_p4_SEQ1184192A_090817H	11	3	p4_SEQ1184192A_090817H
S-07170_oECA306_C12_p4_SEQ1184192A_090817H	20	15	p4_SEQ1184192A_090817H
S-07177_oECA306_D01_p4_SEQ1184192A_090817H	10	1	p4_SEQ1184192A_090817H
S-07204_oECA306_D02_p4_SEQ1184192A_090817H	10	5	p4_SEQ1184192A_090817H
S-07216_oECA306_D03_p4_SEQ1184192A_090817H	0	3	p4_SEQ1184192A_090817H
S-07225_oECA306_D04_p4_SEQ1184192A_090817H	9	8	p4_SEQ1184192A_090817H
S-07228_oECA306_D05_p4_SEQ1184192A_090817H	11	11	p4_SEQ1184192A_090817H
S-07237_oECA306_D06_p4_SEQ1184192A_090817H	11	9	p4_SEQ1184192A_090817H
S-07239_oECA306_D07_p4_SEQ1184192A_090817H	12	17	p4_SEQ1184192A_090817H
S-07243_oECA306_D08_p4_SEQ1184192A_090817H	11	67	p4_SEQ1184192A_090817H
S-07244_oECA306_D09_p4_SEQ1184192A_090817H	10	4	p4_SEQ1184192A_090817H
S-07255_oECA306_D10_p4_SEQ1184192A_090817H	16	6	p4_SEQ1184192A_090817H
306_D04_p1_SEQ1184192A_090817E	7	0	p1_SEQ1184192A_090817E
S-05568_oECA306_D05_p1_SEQ1184192A_090817E	0	5	p1_SEQ1184192A_090817E
S-05573_oECA306_D06_p1_SEQ1184192A_090817E	8	12	p1_SEQ1184192A_090817E
S-05575_oECA306_D07_p1_SEQ1184192A_090817E	8	5	p1_SEQ1184192A_090817E
S-05576_oECA306_D08_p1_SEQ1184192A_090817E	9	0	p1_SEQ1184192A_090817E
S-05578_oECA306_D09_p1_SEQ1184192A_090817E	0	1	p1_SEQ1184192A_090817E
S-05580_oECA306_D10_p1_SEQ1184192A_090817E	0	1	p1_SEQ1184192A_090817E
S-05581_oECA306_D11_p1_SEQ1184192A_090817E	21	1	p1_SEQ1184192A_090817E
S-05591_oECA306_D12_p1_SEQ1184192A_090817E	8	13	p1_SEQ1184192A_090817E
S-05593_oECA306_E01_p1_SEQ1184192A_090817E	15	3	p1_SEQ1184192A_090817E
S-05612_oECA306_E02_p1_SEQ1184192A_090817E	17	8	p1_SEQ1184192A_090817E
S-05620_oECA306_E03_p1_SEQ1184192A_090817E	14	5	p1_SEQ1184192A_090817E
S-05621_oECA306_E04_p1_SEQ1184192A_090817E	11	2	p1_SEQ1184192A_090817E
S-05631_oECA306_E05_p1_SEQ1184192A_090817E	0	2	p1_SEQ1184192A_090817E
S-05632_oECA306_E06_p1_SEQ1184192A_090817E	16	1	p1_SEQ1184192A_090817E
S-05637_oECA306_E07_p1_SEQ1184192A_090817E	21	2	p1_SEQ1184192A_090817E
S-05661_oECA306_E08_p1_SEQ1184192A_090817E	10	4	p1_SEQ1184192A_090817E
S-05662_oECA306_E09_p1_SEQ1184192A_090817E	9	15	p1_SEQ1184192A_090817E
S-05666_oECA306_E10_p1_SEQ1184192A_090817E	9	1	p1_SEQ1184192A_090817E
S-05670_oECA306_E11_p1_SEQ1184192A_090817E	12	7	p1_SEQ1184192A_090817E
S-05672_oECA306_E12_p1_SEQ1184192A_090817E	8	17	p1_SEQ1184192A_090817E
